"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","da:1f:21:db:94:60","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1"
"2","0.296190","::","ff02::1:ffdb:9460","ICMPv6","78","Neighbor Solicitation for fe80::d81f:21ff:fedb:9460"
"3","0.301957","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"4","0.398034","0.0.0.0","255.255.255.255","DHCP","340","DHCP Discover - Transaction ID 0xd5e76c3b"
"5","0.408542","fe80::d81f:21ff:fedb:9460","::","ICMPv6","86","Neighbor Advertisement fe80::d81f:21ff:fedb:9460 (sol, ovr) is at da:1f:21:db:94:60"
"6","0.449429","0.0.0.0","255.255.255.255","DHCP","352","DHCP Request  - Transaction ID 0xd5e76c3b"
"7","0.761630","da:1f:21:db:94:60","Broadcast","ARP","60","Who has 192.168.31.1? Tell 192.168.31.245"
"8","1.088332","fe80::d81f:21ff:fedb:9460","ff02::2","ICMPv6","70","Router Solicitation from da:1f:21:db:94:60"
"9","1.088336","fe80::d81f:21ff:fedb:9460","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"10","1.331202","fe80::d81f:21ff:fedb:9460","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"11","1.980626","fe80::d81f:21ff:fedb:9460","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"12","5.020610","fe80::d81f:21ff:fedb:9460","ff02::2","ICMPv6","70","Router Solicitation from da:1f:21:db:94:60"
