"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","c2:e9:49:68:f3:3b","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1"
"2","0.274914","::","ff02::1:ff68:f33b","ICMPv6","78","Neighbor Solicitation for fe80::c0e9:49ff:fe68:f33b"
"3","0.280466","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"4","0.356271","0.0.0.0","255.255.255.255","DHCP","340","DHCP Discover - Transaction ID 0x88ba9f99"
"5","0.375447","0.0.0.0","255.255.255.255","DHCP","352","DHCP Request  - Transaction ID 0x88ba9f99"
"6","0.387265","fe80::c0e9:49ff:fe68:f33b","::","ICMPv6","86","Neighbor Advertisement fe80::c0e9:49ff:fe68:f33b (sol, ovr) is at c2:e9:49:68:f3:3b"
"7","0.520439","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"8","0.551846","c2:e9:49:68:f3:3b","Broadcast","ARP","60","Who has 192.168.31.1? Tell 192.168.31.242"
"9","1.020152","fe80::c0e9:49ff:fe68:f33b","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"10","1.020152","fe80::c0e9:49ff:fe68:f33b","ff02::2","ICMPv6","70","Router Solicitation from c2:e9:49:68:f3:3b"
"11","1.099805","fe80::c0e9:49ff:fe68:f33b","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
